nome_posto,combustivel,endereco,bairro,data_coleta,valor
"Posto Petrobras",Diesel,"Av. Norte Sul, 3595","Civit II",2026-03-07,6.39
"Posto Petrobras",Diesel,"Av. Norte Sul, 3595","Civit II",2026-03-13,6.29
"Posto Petrobras",Diesel,"Av. Norte Sul, 3595","Civit II",2026-03-18,6.79
"Posto Petrobras",Diesel,"Av. Norte Sul, 3595","Civit II",2026-03-25,6.99
"Posto Petrobras",Etanol,"Av. Norte Sul, 3595","Civit II",2026-03-02,4.89
"Posto Petrobras",Etanol,"Av. Norte Sul, 3595","Civit II",2026-03-04,4.89
"Posto Petrobras",Etanol,"Av. Norte Sul, 3595","Civit II",2026-03-07,4.89
"Posto Petrobras",Etanol,"Av. Norte Sul, 3595","Civit II",2026-03-13,4.99
"Posto Petrobras",Etanol,"Av. Norte Sul, 3595","Civit II",2026-03-18,4.99
"Posto Petrobras",Etanol,"Av. Norte Sul, 3595","Civit II",2026-03-25,4.99
"Posto Petrobras",Gasolina,"Av. Norte Sul, 3595","Civit II",2026-03-02,6.09
"Posto Petrobras",Gasolina,"Av. Norte Sul, 3595","Civit II",2026-03-04,6.09
"Posto Petrobras",Gasolina,"Av. Norte Sul, 3595","Civit II",2026-03-07,6.09
"Posto Petrobras",Gasolina,"Av. Norte Sul, 3595","Civit II",2026-03-13,6.59
"Posto Petrobras",Gasolina,"Av. Norte Sul, 3595","Civit II",2026-03-18,6.59
"Posto Petrobras",Gasolina,"Av. Norte Sul, 3595","Civit II",2026-03-25,6.59
"Posto Petrobras","Gasolina Aditivada","Av. Norte Sul, 3595","Civit II",2026-03-02,6.49
"Posto Petrobras","Gasolina Aditivada","Av. Norte Sul, 3595","Civit II",2026-03-04,6.49
"Posto Petrobras","Gasolina Aditivada","Av. Norte Sul, 3595","Civit II",2026-03-07,6.49
"Posto Petrobras","Gasolina Aditivada","Av. Norte Sul, 3595","Civit II",2026-03-13,6.79
"Posto Petrobras","Gasolina Aditivada","Av. Norte Sul, 3595","Civit II",2026-03-18,6.79
"Posto Petrobras","Gasolina Aditivada","Av. Norte Sul, 3595","Civit II",2026-03-25,6.79
"Posto Shell",Diesel,"Rod. laranjeiras","Civit II",2026-03-02,6.09
"Posto Shell",Diesel,"Rod. laranjeiras","Civit II",2026-03-04,6.24
"Posto Shell",Diesel,"Rod. laranjeiras","Civit II",2026-03-07,6.24
"Posto Shell",Diesel,"Rod. laranjeiras","Civit II",2026-03-13,6.59
"Posto Shell",Diesel,"Rod. laranjeiras","Civit II",2026-03-18,6.89
"Posto Shell",Diesel,"Rod. laranjeiras","Civit II",2026-03-25,6.89
"Posto Shell",Etanol,"Rod. laranjeiras","Civit II",2026-03-02,4.79
"Posto Shell",Etanol,"Rod. laranjeiras","Civit II",2026-03-04,4.79
"Posto Shell",Etanol,"Rod. laranjeiras","Civit II",2026-03-07,4.79
"Posto Shell",Etanol,"Rod. laranjeiras","Civit II",2026-03-13,4.89
